company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes
REPLACE:وكالة من شبكتك 1,REPLACE:اسم المدير,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,warm — عبّئ من CRM أو مقدمة شخصية
REPLACE:وكالة من شبكتك 2,REPLACE:شريك مؤسس,agency_wedge,CRM مليان بلا owner للمتابعة,email_warm,A,agency_proof_pack,not_contacted,طلب ديمو 10 دقائق,,high,warm — Motion A أولوية
REPLACE:وكالة من شبكتك 3,REPLACE:مدير عمليات,agency_wedge,لا proof أسبوعي للعميل,linkedin_manual,A,ten_lead_audit,message_drafted,مراجعة مسودة قبل إرسال,,medium,warm
REPLACE:مؤسس SaaS معروف,REPLACE:CEO,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,not_contacted,لغة Control Tower,,high,warm intro مطلوبة
REPLACE:شريك CRM/HubSpot,REPLACE:مستشار,crm_partner,يحتاج diagnostic قبل التنفيذ,email_warm,C,diagnostic_layer,not_contacted,عرض Proof قبل التنفيذ,,medium,Motion C
REPLACE:B2B خدمات معروفة,REPLACE:مدير مبيعات,direct_b2b,follow-up غير موثق,email_warm,B,governed_diagnostic,not_contacted,Discovery 30 دقيقة,,medium,Motion B
REPLACE:قاعة/فندق B2B,REPLACE:مدير فعاليات,hospitality,استفسارات حجز بلا owner,inbound,B,ten_lead_audit,replied,إرسال Risk Score,,medium,inbound warm
REPLACE:مطور عقاري,REPLACE:مدير مبيعات,real_estate_developer,تأخر رد على leads inbound,phone_task,B,ten_lead_audit,not_contacted,مكالمة 5 دقائق,,high,قطاع ICP ذهب
REPLACE:شريك وكالة محتمل,REPLACE:مدير شراكات,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,not_contacted,Partner one-pager,,high,warm partner
REPLACE:استشاري نمو,REPLACE:شريك,consulting_firm,عملاء يطلبون أتمتة بلا حوكمة,email_warm,A,agency_proof_pack,not_contacted,مسودة email warm,,medium,warm
REPLACE:تقنية B2B,REPLACE:CTO,saas,Pipeline بلا evidence,linkedin_manual,B,governed_diagnostic,not_contacted,تعليق LinkedIn ثم DM,,medium,warm
وكالة مثال — لا ترسل,مدير حسابات,agency_wedge,تدريب داخلي فقط,linkedin_manual,A,ten_lead_audit,closed_lost,مثال seed — لا تستخدم,,low,مثال تدريبي فقط
هدف warm 12,REPLACE:contact,agency_wedge,post-campaign leak,email_warm,A,ten_lead_audit,not_contacted,مسودة,,high,slot 12
هدف warm 13,REPLACE:contact,agency_wedge,no weekly proof,linkedin_manual,A,agency_proof_pack,not_contacted,مسودة,,high,slot 13
هدف warm 14,REPLACE:contact,direct_b2b,slow first response,email_warm,B,ten_lead_audit,not_contacted,مسودة,,medium,slot 14
هدف warm 15,REPLACE:contact,executive_governance,AI scale risk,partner_intro,D,executive_diagnostic,not_contacted,مسودة,,medium,slot 15
هدف warm 16,REPLACE:contact,crm_partner,pre-HubSpot diagnostic,email_warm,C,diagnostic_layer,not_contacted,مسودة,,medium,slot 16
هدف warm 17,REPLACE:contact,agency_partner,one client pilot,partner_intro,A,partner_sprint,not_contacted,مسودة,,high,slot 17
هدف warm 18,REPLACE:contact,marketing_agency,inbound overload,linkedin_manual,A,ten_lead_audit,message_drafted,مراجعة,,medium,slot 18
هدف warm 19,REPLACE:contact,saas,founder-led sales,email_warm,B,governed_diagnostic,not_contacted,مسودة,,medium,slot 19
هدف warm 20,REPLACE:contact,consulting_firm,client proof gap,email_warm,A,agency_proof_pack,replied,متابعة 48h,,high,slot 20
هدف warm 21,REPLACE:contact,agency_wedge,client asks ROI,linkedin_manual,A,ten_lead_audit,sent_manual,متابعة,,high,slot 21
هدف warm 22,REPLACE:contact,direct_b2b,CRM chaos,email_warm,B,governed_diagnostic,not_contacted,مسودة,,medium,slot 22
هدف warm 23,REPLACE:contact,hospitality,MICE inquiries,phone_task,B,ten_lead_audit,not_contacted,اتصال,,medium,slot 23
هدف warm 24,REPLACE:contact,real_estate_developer,inbound quality,email_warm,B,ten_lead_audit,not_contacted,مسودة,,high,slot 24
هدف warm 25,REPLACE:contact,agency_wedge,retainer before proof,linkedin_manual,A,agency_proof_pack,meeting_booked,Discovery,,high,slot 25
هدف استراتيجي 27 — وكالة/خدمات,مدير حسابات 27,direct_b2b,CRM مليان بلا owner,partner_intro,B,governed_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 28 — وكالة/خدمات,مدير حسابات 28,crm_partner,follow-up غير موثق,linkedin_manual,C,diagnostic_layer,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 29 — وكالة/خدمات,مدير حسابات 29,agency_partner,co-sell pilot واحد,email_warm,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 30 — وكالة/خدمات,مدير حسابات 30,executive_governance,AI بلا حوكمة,partner_intro,A,executive_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 31 — وكالة/خدمات,مدير حسابات 31,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 32 — وكالة/خدمات,مدير حسابات 32,direct_b2b,CRM مليان بلا owner,email_warm,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 33 — وكالة/خدمات,مدير حسابات 33,crm_partner,follow-up غير موثق,partner_intro,C,diagnostic_layer,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 34 — وكالة/خدمات,مدير حسابات 34,agency_partner,co-sell pilot واحد,linkedin_manual,D,partner_sprint,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 35 — وكالة/خدمات,مدير حسابات 35,executive_governance,AI بلا حوكمة,email_warm,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 36 — وكالة/خدمات,مدير حسابات 36,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,partner_intro,A,ten_lead_audit,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 37 — وكالة/خدمات,مدير حسابات 37,direct_b2b,CRM مليان بلا owner,linkedin_manual,B,governed_diagnostic,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 38 — وكالة/خدمات,مدير حسابات 38,crm_partner,follow-up غير موثق,email_warm,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 39 — وكالة/خدمات,مدير حسابات 39,agency_partner,co-sell pilot واحد,partner_intro,D,partner_sprint,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 40 — وكالة/خدمات,مدير حسابات 40,executive_governance,AI بلا حوكمة,linkedin_manual,A,executive_diagnostic,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 41 — وكالة/خدمات,مدير حسابات 41,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,email_warm,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
